config,ok_rows,error_rows,objective,mean_branch_len,len1_ratio,mean_activation_density,tracked_lift_mean,tracked_separation_mean,valence_lift,social_orientation_lift,action_tendency_class_lift,appraisal_family_lift,control_state_lift,valence_separation,social_orientation_separation,action_tendency_class_separation,appraisal_family_separation,control_state_separation,params_json
thr0.66_clip1.6_inh0.12_mid_fatigue,40,0,0.788458,36.475,0.0,0.93186,-0.02,0.235809,0.05,-0.075,0.025,-0.075,-0.025,0.480109,0.113301,0.466907,0.053422,0.065307,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.16, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.6, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8400000000000001, ""k_threshold_base"": 0.66, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.60_clip1.6_inh0.12_low_fatigue,40,0,0.766237,34.725,0.0,0.94243,-0.06,0.254616,0.075,-0.15,-0.1,-0.05,-0.075,0.657847,0.072183,0.403696,0.061315,0.078037,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.12, ""fatigue_k_leak"": 0.025, ""fatigue_threshold_gain"": 0.06, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.6, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.78, ""k_threshold_base"": 0.6, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.60_clip2.2_inh0.12_mid_fatigue,40,0,0.761148,28.975,0.0,0.921802,-0.055,0.256667,0.025,0.0,0.05,-0.225,-0.125,0.514202,0.042129,0.502414,0.03837,0.186221,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.16, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 2.2, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.78, ""k_threshold_base"": 0.6, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.63_clip1.9_inh0.12_mid_fatigue,40,0,0.755389,32.8,0.0,0.923206,0.0,0.2246,0.1,-0.025,-0.075,0.0,0.0,0.525189,0.073423,0.386917,0.081659,0.055814,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.16, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.9, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.81, ""k_threshold_base"": 0.63, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.66_clip1.9_inh0.08_low_fatigue,40,0,0.751278,35.325,0.0,0.934996,-0.045,0.237673,0.025,0.05,-0.075,-0.1,-0.125,0.46162,0.03197,0.413769,0.04773,0.233278,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.12, ""fatigue_k_leak"": 0.025, ""fatigue_threshold_gain"": 0.06, ""inhibitory_suppression_gain"": 0.08, ""input_signal_clip"": 1.9, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8400000000000001, ""k_threshold_base"": 0.66, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.66_clip1.6_inh0.12_low_fatigue,40,0,0.740938,35.725,0.0,0.934848,-0.08,0.244461,0.1,-0.15,-0.2,-0.1,-0.05,0.600785,0.031189,0.352576,0.076466,0.161291,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.12, ""fatigue_k_leak"": 0.025, ""fatigue_threshold_gain"": 0.06, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.6, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8400000000000001, ""k_threshold_base"": 0.66, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.63_clip1.6_inh0.12_mid_fatigue,40,0,0.733645,31.525,0.0,0.924367,0.1,0.189043,0.15,0.1,0.075,0.1,0.075,0.324214,0.146926,0.278592,0.086622,0.108861,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.16, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.6, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.81, ""k_threshold_base"": 0.63, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.66_clip2.2_inh0.12_low_fatigue,40,0,0.733319,37.05,0.0,0.942477,-0.025,0.224258,0.05,-0.05,-0.025,-0.05,-0.05,0.57707,0.049906,0.358114,0.076048,0.060151,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.12, ""fatigue_k_leak"": 0.025, ""fatigue_threshold_gain"": 0.06, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 2.2, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8400000000000001, ""k_threshold_base"": 0.66, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.66_clip1.9_inh0.12_mid_fatigue,40,0,0.733274,32.375,0.0,0.928322,-0.07,0.245389,0.05,-0.175,-0.05,-0.15,-0.025,0.550504,0.070927,0.431928,0.057266,0.116321,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.16, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.9, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8400000000000001, ""k_threshold_base"": 0.66, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.60_clip1.6_inh0.08_low_fatigue,40,0,0.725757,30.85,0.0,0.922067,-0.08,0.24713,0.1,-0.2,0.025,-0.225,-0.1,0.609267,0.033748,0.398045,0.019823,0.174769,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.12, ""fatigue_k_leak"": 0.025, ""fatigue_threshold_gain"": 0.06, ""inhibitory_suppression_gain"": 0.08, ""input_signal_clip"": 1.6, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.78, ""k_threshold_base"": 0.6, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
