config,ok_rows,error_rows,objective,mean_branch_len,len1_ratio,mean_activation_density,tracked_lift_mean,tracked_separation_mean,branch_temporal_lift_mean,branch_temporal_separation_mean,combined_lift_mean,combined_separation_mean,valence_lift,social_orientation_lift,action_tendency_class_lift,appraisal_family_lift,control_state_lift,valence_separation,social_orientation_separation,action_tendency_class_separation,appraisal_family_separation,control_state_separation,params_json
thr0.60_clip1.6_inh0.12_low_fatigue,40,0,0.209906,40.45,0.0,0.955431,-0.15,0.200768,-0.145,0.17613,-0.1485,0.193377,-0.05,-0.15,-0.1,-0.25,-0.2,0.44898,0.185809,0.170389,0.135857,0.062805,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.12, ""fatigue_k_leak"": 0.025, ""fatigue_threshold_gain"": 0.06, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.6, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.78, ""k_threshold_base"": 0.6, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.60_clip1.9_inh0.08_mid_fatigue,40,0,0.186596,37.525,0.0,0.941096,-0.135,0.179139,-0.135,0.149488,-0.135,0.170243,-0.025,-0.075,-0.275,-0.125,-0.175,0.449924,0.181199,0.104467,0.129547,0.030556,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.16, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.08, ""input_signal_clip"": 1.9, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.78, ""k_threshold_base"": 0.6, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.60_clip1.6_inh0.08_low_fatigue,40,0,0.172647,39.75,0.0,0.957568,-0.11,0.176133,-0.08,0.15171,-0.101,0.168806,-0.075,-0.1,-0.1,-0.125,-0.15,0.529407,0.107042,0.181126,0.062676,0.000415,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.12, ""fatigue_k_leak"": 0.025, ""fatigue_threshold_gain"": 0.06, ""inhibitory_suppression_gain"": 0.08, ""input_signal_clip"": 1.6, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.78, ""k_threshold_base"": 0.6, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.60_clip1.6_inh0.12_mid_fatigue,40,0,0.11657,37.425,0.0,0.943421,-0.115,0.153947,-0.145,0.129683,-0.124,0.146668,-0.125,0.025,-0.225,-0.05,-0.2,0.400823,0.159919,0.105555,0.122014,-0.018574,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.16, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.6, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.78, ""k_threshold_base"": 0.6, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.60_clip1.6_inh0.08_mid_fatigue,40,0,0.080338,31.85,0.0,0.93943,-0.15,0.165537,-0.135,0.130478,-0.1455,0.155019,-0.075,-0.2,-0.2,-0.125,-0.15,0.438741,0.115951,0.146055,0.101569,0.025369,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.16, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.08, ""input_signal_clip"": 1.6, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.78, ""k_threshold_base"": 0.6, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.60_clip1.9_inh0.12_low_fatigue,40,0,0.069172,32.35,0.0,0.93933,-0.105,0.139808,-0.1,0.125438,-0.1035,0.135497,-0.025,0.025,-0.125,-0.15,-0.25,0.340016,0.135183,0.12627,0.094761,0.002811,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.12, ""fatigue_k_leak"": 0.025, ""fatigue_threshold_gain"": 0.06, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.9, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.78, ""k_threshold_base"": 0.6, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.60_clip1.9_inh0.08_low_fatigue,40,0,0.0687,40.25,0.0,0.95886,-0.12,0.146645,-0.1,0.122427,-0.114,0.13938,-0.025,-0.175,-0.2,-0.075,-0.125,0.398555,0.101123,0.058392,0.098467,0.07669,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.12, ""fatigue_k_leak"": 0.025, ""fatigue_threshold_gain"": 0.06, ""inhibitory_suppression_gain"": 0.08, ""input_signal_clip"": 1.9, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.78, ""k_threshold_base"": 0.6, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
