config,ok_rows,error_rows,objective,mean_branch_len,len1_ratio,mean_activation_density,tracked_lift_mean,tracked_separation_mean,valence_lift,social_orientation_lift,action_tendency_class_lift,appraisal_family_lift,control_state_lift,valence_separation,social_orientation_separation,action_tendency_class_separation,appraisal_family_separation,control_state_separation,params_json
thr0.67_topk2_clip1.8_inh0.12_midfat,24,0,0.076865,25.791667,0.208333,0.725811,-0.033333,0.248505,-0.041667,0.125,-0.083333,0.0,-0.166667,0.425642,0.016848,0.467044,0.169811,0.163179,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.8, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8500000000000001, ""k_threshold_base"": 0.67, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.67_topk3_clip1.8_inh0.12_midfat,24,0,0.031467,27.333333,0.166667,0.771253,-0.116667,0.195003,-0.041667,-0.125,-0.083333,-0.125,-0.208333,0.49788,-0.043177,0.364565,0.082616,0.07313,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.8, ""input_topk"": 3, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8500000000000001, ""k_threshold_base"": 0.67, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.70_topk3_clip1.8_inh0.18_midfat,24,0,-0.002878,23.583333,0.208333,0.725919,-0.033333,0.232622,0.041667,0.083333,-0.166667,0.041667,-0.166667,0.273859,0.037587,0.301246,0.327429,0.22299,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.18, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.1, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.8, ""input_topk"": 3, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8799999999999999, ""k_threshold_base"": 0.7, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.64_topk3_clip1.5_inh0.12_highfat,24,0,-0.826124,21.375,0.416667,0.545188,0.05,0.27977,-0.041667,0.083333,0.125,0.125,-0.041667,0.467988,0.075105,0.414125,0.33806,0.103574,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.24, ""fatigue_k_leak"": 0.07, ""fatigue_threshold_gain"": 0.14, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.5, ""input_topk"": 3, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8200000000000001, ""k_threshold_base"": 0.64, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.67_topk3_clip1.8_inh0.12_highfat,24,0,-1.040625,20.791667,0.416667,0.537615,0.133333,0.199094,0.0,0.333333,0.083333,0.25,0.0,0.392807,0.040106,0.316414,0.227779,0.018365,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.24, ""fatigue_k_leak"": 0.07, ""fatigue_threshold_gain"": 0.14, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.8, ""input_topk"": 3, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8500000000000001, ""k_threshold_base"": 0.67, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.64_topk2_clip1.2_inh0.12_highfat,24,0,-1.121315,20.208333,0.416667,0.540545,0.091667,0.188763,-0.041667,0.166667,0.208333,0.208333,-0.083333,0.378714,-0.014339,0.302811,0.280171,-0.003542,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.24, ""fatigue_k_leak"": 0.07, ""fatigue_threshold_gain"": 0.14, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.2, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8200000000000001, ""k_threshold_base"": 0.64, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.64_topk2_clip1.2_inh0.18_highfat,24,0,-1.193606,19.708333,0.416667,0.537366,0.033333,0.187428,0.083333,0.083333,0.166667,0.0,-0.166667,0.303104,0.038516,0.254127,0.149468,0.191923,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.24, ""fatigue_k_leak"": 0.07, ""fatigue_threshold_gain"": 0.14, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.2, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8200000000000001, ""k_threshold_base"": 0.64, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.70_topk3_clip1.5_inh0.12_highfat,24,0,-1.194113,19.458333,0.416667,0.534671,0.116667,0.165178,0.0,0.25,0.125,0.208333,0.0,0.345525,0.026246,0.295553,0.164956,-0.006388,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.24, ""fatigue_k_leak"": 0.07, ""fatigue_threshold_gain"": 0.14, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.5, ""input_topk"": 3, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8799999999999999, ""k_threshold_base"": 0.7, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.64_topk3_clip1.2_inh0.12_highfat,24,0,-1.211513,21.791667,0.416667,0.543432,0.05,0.168959,-0.041667,0.125,0.083333,0.125,-0.041667,0.405493,-0.04206,0.342399,0.129365,0.009599,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.24, ""fatigue_k_leak"": 0.07, ""fatigue_threshold_gain"": 0.14, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.2, ""input_topk"": 3, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8200000000000001, ""k_threshold_base"": 0.64, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.67_topk3_clip1.2_inh0.12_highfat,24,0,-1.233419,21.0,0.458333,0.506391,0.066667,0.232635,0.0,0.083333,0.25,0.041667,-0.041667,0.543635,0.09843,0.282399,0.262846,-0.024135,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.24, ""fatigue_k_leak"": 0.07, ""fatigue_threshold_gain"": 0.14, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.2, ""input_topk"": 3, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8500000000000001, ""k_threshold_base"": 0.67, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
