config,ok_rows,error_rows,objective,mean_branch_len,len1_ratio,mean_activation_density,tracked_lift_mean,tracked_balanced_lift_mean,tracked_separation_mean,branch_temporal_lift_mean,branch_temporal_balanced_lift_mean,branch_temporal_separation_mean,combined_lift_mean,combined_balanced_lift_mean,combined_separation_mean,valence_lift,social_orientation_lift,action_tendency_class_lift,appraisal_family_lift,control_state_lift,valence_balanced_lift,social_orientation_balanced_lift,action_tendency_class_balanced_lift,appraisal_family_balanced_lift,control_state_balanced_lift,valence_separation,social_orientation_separation,action_tendency_class_separation,appraisal_family_separation,control_state_separation,params_json
adaptive_thr0.63_clip1.6_inh0.10_start8_cap0.76,40,0,0.987814,48.95,0.0,0.686406,-0.085,0.059991,0.215634,-0.125,0.011036,0.1787,-0.097,0.045305,0.204554,-0.075,-0.025,-0.225,-0.025,-0.075,0.03733,0.165793,-0.062729,0.116277,0.043286,0.509492,0.189205,0.167775,0.139984,0.071716,"{""activity_churn_eps"": 0.02, ""density_control_start_tick"": 8, ""density_hard_cap"": 0.76, ""density_pruned_fatigue_gain"": 0.08, ""density_soft_k_leak_gain"": 1.5, ""density_target_high"": 0.7, ""fatigue_gain"": 0.15, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.1, ""input_signal_clip"": 1.6, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.81, ""k_threshold_base"": 0.63, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
adaptive_thr0.63_clip1.8_inh0.12_start10_cap0.80,40,0,0.949129,44.15,0.0,0.741523,-0.085,0.067783,0.204148,-0.12,0.019219,0.157291,-0.0955,0.053214,0.190091,-0.1,-0.075,-0.125,-0.05,-0.075,0.022624,0.089277,0.044689,0.099611,0.082713,0.482802,0.128644,0.208588,0.106753,0.093951,"{""activity_churn_eps"": 0.02, ""density_control_start_tick"": 10, ""density_hard_cap"": 0.8, ""density_pruned_fatigue_gain"": 0.06, ""density_soft_k_leak_gain"": 1.25, ""density_target_high"": 0.74, ""fatigue_gain"": 0.14, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.8, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.81, ""k_threshold_base"": 0.63, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
adaptive_thr0.66_clip1.6_inh0.12_start8_cap0.76,40,0,0.89238,46.625,0.0,0.676906,-0.105,0.060373,0.186312,-0.12,0.040006,0.143049,-0.1095,0.054263,0.173333,-0.075,-0.1,-0.175,-0.1,-0.075,0.03733,0.099883,-0.033883,0.076397,0.12214,0.45628,0.146935,0.136786,0.120012,0.071546,"{""activity_churn_eps"": 0.02, ""density_control_start_tick"": 8, ""density_hard_cap"": 0.76, ""density_pruned_fatigue_gain"": 0.08, ""density_soft_k_leak_gain"": 1.5, ""density_target_high"": 0.7, ""fatigue_gain"": 0.16, ""fatigue_k_leak"": 0.04, ""fatigue_threshold_gain"": 0.09, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.6, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8400000000000001, ""k_threshold_base"": 0.66, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
adaptive_thr0.60_clip1.6_inh0.10_start8_cap0.78,40,0,0.781868,45.55,0.0,0.713828,-0.195,-0.07179,0.173733,-0.155,-0.017757,0.151466,-0.183,-0.05558,0.167053,-0.05,-0.3,-0.2,-0.25,-0.175,-0.016591,-0.149359,-0.05174,-0.120032,-0.02123,0.580937,0.138446,0.091527,0.071611,-0.013856,"{""activity_churn_eps"": 0.02, ""density_control_start_tick"": 8, ""density_hard_cap"": 0.78, ""density_pruned_fatigue_gain"": 0.06, ""density_soft_k_leak_gain"": 1.25, ""density_target_high"": 0.72, ""fatigue_gain"": 0.14, ""fatigue_k_leak"": 0.03, ""fatigue_threshold_gain"": 0.07, ""inhibitory_suppression_gain"": 0.1, ""input_signal_clip"": 1.6, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.78, ""k_threshold_base"": 0.6, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
