config,ok_rows,error_rows,objective,mean_branch_len,len1_ratio,mean_activation_density,tracked_lift_mean,tracked_separation_mean,branch_temporal_lift_mean,branch_temporal_separation_mean,combined_lift_mean,combined_separation_mean,valence_lift,social_orientation_lift,action_tendency_class_lift,appraisal_family_lift,control_state_lift,valence_separation,social_orientation_separation,action_tendency_class_separation,appraisal_family_separation,control_state_separation,params_json
thr0.74_clip1.2_inh0.20_high_fatigue,40,0,-1.008127,19.825,0.4,0.550182,-0.085,0.155321,-0.045,0.156055,-0.073,0.155541,0.025,-0.1,-0.2,-0.1,-0.05,0.419802,0.067455,0.232907,0.07072,-0.014281,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.24, ""fatigue_k_leak"": 0.06, ""fatigue_threshold_gain"": 0.14, ""inhibitory_suppression_gain"": 0.2, ""input_signal_clip"": 1.2, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.9199999999999999, ""k_threshold_base"": 0.74, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.70_clip1.2_inh0.16_high_fatigue,40,0,-1.184532,25.4,0.375,0.585511,-0.16,0.072285,-0.13,0.067411,-0.151,0.070823,-0.05,-0.25,-0.125,-0.2,-0.175,0.279149,0.010392,0.04856,0.030004,-0.006679,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.22, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.12, ""inhibitory_suppression_gain"": 0.16, ""input_signal_clip"": 1.2, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8799999999999999, ""k_threshold_base"": 0.7, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.74_clip1.4_inh0.20_high_fatigue,40,0,-1.277144,22.65,0.4,0.556091,-0.095,0.062644,-0.075,0.059782,-0.089,0.061785,-0.075,-0.05,-0.175,-0.1,-0.075,0.202163,0.061233,0.081154,-0.00451,-0.026822,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.24, ""fatigue_k_leak"": 0.06, ""fatigue_threshold_gain"": 0.14, ""inhibitory_suppression_gain"": 0.2, ""input_signal_clip"": 1.4, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.9199999999999999, ""k_threshold_base"": 0.74, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.70_clip1.4_inh0.16_high_fatigue,40,0,-1.312371,26.2,0.4,0.570219,-0.095,0.040794,-0.11,0.043846,-0.0995,0.04171,-0.05,-0.125,-0.125,-0.175,0.0,0.200394,0.045138,-0.029454,-0.00238,-0.009729,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.22, ""fatigue_k_leak"": 0.05, ""fatigue_threshold_gain"": 0.12, ""inhibitory_suppression_gain"": 0.16, ""input_signal_clip"": 1.4, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8799999999999999, ""k_threshold_base"": 0.7, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
