config,ok_rows,error_rows,objective,mean_branch_len,len1_ratio,mean_activation_density,tracked_lift_mean,tracked_separation_mean,branch_temporal_lift_mean,branch_temporal_separation_mean,combined_lift_mean,combined_separation_mean,valence_lift,social_orientation_lift,action_tendency_class_lift,appraisal_family_lift,control_state_lift,valence_separation,social_orientation_separation,action_tendency_class_separation,appraisal_family_separation,control_state_separation,params_json
thr0.66_clip1.6_inh0.12_mid_fatigue,40,0,0.364312,33.675,0.0,0.939621,-0.095,0.239748,-0.125,0.207306,-0.104,0.230015,-0.075,-0.075,-0.175,-0.075,-0.075,0.440164,0.17376,0.211387,0.166814,0.206615,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.16, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.6, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8400000000000001, ""k_threshold_base"": 0.66, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.66_clip1.6_inh0.08_low_fatigue,40,0,0.266193,39.325,0.0,0.957189,-0.125,0.221644,-0.145,0.185829,-0.131,0.2109,-0.05,0.025,-0.2,-0.225,-0.175,0.519779,0.208039,0.166267,0.141632,0.072503,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.12, ""fatigue_k_leak"": 0.025, ""fatigue_threshold_gain"": 0.06, ""inhibitory_suppression_gain"": 0.08, ""input_signal_clip"": 1.6, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8400000000000001, ""k_threshold_base"": 0.66, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.66_clip1.6_inh0.08_mid_fatigue,40,0,0.208048,31.75,0.0,0.926715,-0.12,0.175732,-0.105,0.159857,-0.1155,0.170969,-0.075,0.0,-0.2,-0.125,-0.2,0.419254,0.185131,0.193287,0.113731,-0.032745,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.16, ""fatigue_k_leak"": 0.035, ""fatigue_threshold_gain"": 0.08, ""inhibitory_suppression_gain"": 0.08, ""input_signal_clip"": 1.6, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8400000000000001, ""k_threshold_base"": 0.66, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
thr0.66_clip1.6_inh0.12_low_fatigue,40,0,0.088533,35.6,0.0,0.947528,-0.115,0.15462,-0.125,0.128824,-0.118,0.146882,-0.05,-0.175,-0.125,-0.025,-0.2,0.386373,0.125189,0.114292,0.086197,0.061051,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.12, ""fatigue_k_leak"": 0.025, ""fatigue_threshold_gain"": 0.06, ""inhibitory_suppression_gain"": 0.12, ""input_signal_clip"": 1.6, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8400000000000001, ""k_threshold_base"": 0.66, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
