config,feature_kind,n,mean_branch_len,len1_ratio,mean_activation_density,tracked_lift_mean,tracked_separation_mean,valence_lift,social_orientation_lift,action_tendency_class_lift,appraisal_family_lift,control_state_lift,hypothesis,params_json
baseline,branch_mean,40,10.275,0.5,0.448391,-0.045,0.21596,0.075,-0.075,0.025,-0.075,-0.175,current reference,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.3, ""fatigue_k_leak"": 0.08, ""fatigue_threshold_gain"": 0.18, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.5, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.95, ""k_threshold_base"": 0.72, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
lower_threshold,branch_mean,40,15.0,0.45,0.497025,-0.015,0.135348,0.075,0.025,0.0,-0.075,-0.1,help weak stimuli cross initial activation threshold,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.3, ""fatigue_k_leak"": 0.08, ""fatigue_threshold_gain"": 0.18, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.5, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8, ""k_threshold_base"": 0.58, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
stronger_input,branch_mean,40,20.175,0.5,0.466293,-0.17,0.138771,0.0,-0.175,-0.2,-0.225,-0.25,let more upstream signal reach downstream neurons,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.3, ""fatigue_k_leak"": 0.08, ""fatigue_threshold_gain"": 0.18, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 2.4, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.95, ""k_threshold_base"": 0.72, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
less_inhibition,branch_mean,40,16.925,0.5,0.463568,-0.13,0.076121,0.025,-0.2,-0.15,-0.225,-0.1,reduce early suppression of competing active nodes,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.3, ""fatigue_k_leak"": 0.08, ""fatigue_threshold_gain"": 0.18, ""inhibitory_suppression_gain"": 0.06, ""input_signal_clip"": 1.5, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.95, ""k_threshold_base"": 0.72, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
less_fatigue,branch_mean,40,31.125,0.0,0.918379,-0.06,0.243634,0.1,-0.075,-0.225,-0.075,-0.025,avoid killing active routes before a trace unfolds,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.1, ""fatigue_k_leak"": 0.02, ""fatigue_threshold_gain"": 0.05, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.5, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.95, ""k_threshold_base"": 0.72, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
persistent_flow,branch_mean,40,34.75,0.0,0.934188,-0.055,0.193513,0.1,-0.15,-0.2,0.05,-0.075,"combine lower threshold, stronger input, and less fatigue","{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.1, ""fatigue_k_leak"": 0.02, ""fatigue_threshold_gain"": 0.05, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 2.4, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8, ""k_threshold_base"": 0.58, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
persistent_less_inhibition,branch_mean,40,32.175,0.0,0.93278,0.0,0.27045,0.075,0.025,-0.075,0.0,-0.025,persistent flow with weaker lateral suppression,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.1, ""fatigue_k_leak"": 0.02, ""fatigue_threshold_gain"": 0.05, ""inhibitory_suppression_gain"": 0.06, ""input_signal_clip"": 2.4, ""input_topk"": 4, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.8, ""k_threshold_base"": 0.58, ""ne_remem_reduce_gain"": 0.25, ""ne_thresh_reduce_gain"": 0.25, ""refractory_ticks"": 1}"
high_ne_modulation,branch_mean,40,13.875,0.5,0.452858,0.005,0.203483,0.05,-0.025,0.025,0.025,-0.05,norepinephrine-like modulation lowers thresholds during active traces,"{""activity_churn_eps"": 0.02, ""fatigue_gain"": 0.3, ""fatigue_k_leak"": 0.08, ""fatigue_threshold_gain"": 0.18, ""inhibitory_suppression_gain"": 0.18, ""input_signal_clip"": 1.5, ""input_topk"": 2, ""intrinsic_alignment_gain"": 0.24, ""k_decay"": 0.99, ""k_remem_base"": 0.95, ""k_threshold_base"": 0.72, ""ne_remem_reduce_gain"": 0.4, ""ne_thresh_reduce_gain"": 0.45, ""refractory_ticks"": 1}"
